iter	Passed	Remaining
0	2	2002
1	3	1985
2	6	2101
3	8	2097
4	10	2063
5	12	2058
6	14	2067
7	16	2101
8	18	2090
9	21	2119
10	23	2100
11	25	2112
12	27	2097
13	29	2104
14	32	2101
15	33	2088
16	36	2096
17	38	2084
18	40	2068
19	42	2063
20	44	2067
21	46	2068
22	48	2072
23	51	2081
24	53	2084
25	55	2077
26	57	2076
27	59	2069
28	61	2064
29	63	2057
30	65	2054
31	67	2054
32	69	2047
33	71	2041
34	73	2039
35	76	2038
36	78	2030
37	79	2024
38	82	2024
39	84	2025
40	86	2022
41	88	2012
42	91	2033
43	93	2028
44	95	2027
45	97	2024
46	99	2018
47	101	2013
48	103	2005
49	105	2002
50	107	2000
51	109	1994
52	111	1990
53	113	1990
54	116	1993
55	117	1988
56	120	1985
57	122	1981
58	123	1976
59	126	1974
60	128	1972
61	130	1976
62	132	1974
63	134	1970
64	136	1967
65	138	1965
66	140	1962
67	143	1961
68	145	1959
69	147	1956
70	149	1951
71	151	1954
72	154	1957
73	156	1955
74	158	1953
75	160	1955
76	163	1955
77	165	1959
78	168	1961
79	170	1963
80	173	1971
81	176	1974
82	178	1971
83	180	1973
84	183	1972
85	185	1968
86	187	1966
87	189	1965
88	191	1961
89	193	1957
90	195	1953
91	197	1950
92	199	1946
93	201	1942
94	204	1944
95	206	1940
96	208	1936
97	210	1933
98	212	1930
99	214	1926
100	216	1923
101	218	1919
102	220	1920
103	222	1914
104	224	1911
105	226	1907
106	228	1905
107	230	1902
108	232	1898
109	234	1901
110	236	1898
111	238	1894
112	240	1891
113	242	1887
114	244	1883
115	246	1879
116	248	1875
117	250	1872
118	252	1868
119	254	1865
120	256	1860
121	258	1857
122	260	1854
123	261	1849
124	263	1846
125	265	1842
126	267	1839
127	269	1835
128	271	1832
129	273	1829
130	275	1826
131	277	1823
132	279	1819
133	280	1815
134	282	1812
135	284	1809
136	286	1806
137	288	1803
138	290	1800
139	292	1797
140	294	1795
141	296	1791
142	298	1787
143	300	1783
144	302	1780
145	303	1778
146	305	1775
147	307	1771
148	309	1768
149	311	1765
150	313	1762
151	315	1758
152	317	1756
153	319	1753
154	320	1749
155	322	1746
156	324	1743
157	326	1740
158	328	1737
159	330	1734
160	332	1732
161	334	1729
162	336	1726
163	338	1723
164	340	1723
165	342	1720
166	344	1717
167	346	1714
168	348	1712
169	350	1710
170	352	1707
171	354	1704
172	355	1701
173	358	1700
174	360	1700
175	363	1699
176	365	1698
177	367	1696
178	369	1695
179	371	1694
180	374	1695
181	376	1693
182	378	1691
183	381	1690
184	383	1687
185	384	1684
186	386	1682
187	388	1678
188	390	1676
189	392	1674
190	395	1674
191	397	1672
192	399	1669
193	401	1667
194	403	1665
195	405	1663
196	407	1660
197	409	1658
198	411	1656
199	413	1653
200	415	1651
201	417	1648
202	419	1646
203	421	1643
204	423	1641
205	425	1638
206	427	1636
