iter	Passed	Remaining
0	1	1946
1	3	1961
2	5	1970
3	8	2115
4	10	2145
5	12	2123
6	14	2092
7	16	2081
8	18	2079
9	20	2070
10	23	2100
11	25	2138
12	27	2116
13	29	2091
14	31	2084
15	33	2076
16	35	2070
17	37	2057
18	39	2051
19	41	2044
20	44	2053
21	46	2059
22	48	2055
23	50	2052
24	52	2047
25	54	2039
26	56	2039
27	58	2030
28	60	2027
29	62	2035
30	64	2026
31	67	2035
32	69	2027
33	71	2023
34	73	2016
35	75	2016
36	77	2014
37	79	2010
38	81	2003
39	83	2000
40	85	2000
41	87	1997
42	89	1994
43	91	1990
44	93	1989
45	96	1991
46	98	1987
47	100	1986
48	102	1987
49	104	1983
50	106	1982
51	108	1979
52	110	1974
53	112	1972
54	114	1968
55	116	1962
56	118	1956
57	120	1952
58	122	1955
59	124	1949
60	126	1948
61	128	1944
62	130	1947
63	133	1945
64	134	1939
65	137	1947
66	139	1944
67	141	1939
68	144	1944
69	146	1947
70	148	1946
71	151	1947
72	153	1942
73	155	1939
74	157	1942
75	160	1947
76	162	1951
77	165	1955
78	167	1956
79	169	1953
80	173	1964
81	176	1975
82	179	1984
83	181	1982
84	183	1977
85	185	1972
86	187	1972
87	189	1968
88	192	1968
89	194	1970
90	197	1968
91	198	1963
92	200	1959
93	203	1959
94	205	1956
95	207	1953
96	209	1951
97	211	1949
98	214	1949
99	216	1945
100	218	1942
101	220	1940
102	222	1936
103	224	1932
104	226	1930
105	228	1926
106	230	1922
107	232	1920
108	234	1916
109	236	1912
110	238	1909
111	240	1908
112	242	1906
113	244	1901
114	246	1898
115	248	1896
116	250	1893
117	252	1889
118	254	1885
119	256	1881
120	258	1878
121	260	1875
122	262	1873
123	264	1871
124	266	1867
125	268	1864
126	271	1863
127	273	1863
128	275	1860
129	277	1858
130	279	1855
131	281	1851
132	283	1847
133	285	1843
134	287	1841
135	289	1839
136	291	1835
137	293	1833
138	295	1830
139	297	1826
140	299	1825
141	301	1821
142	303	1817
143	305	1814
144	307	1812
145	309	1809
146	311	1806
147	313	1802
148	314	1798
149	316	1795
150	318	1791
151	320	1788
152	322	1785
153	324	1782
154	326	1779
155	328	1775
156	330	1773
157	332	1770
158	333	1766
159	335	1762
160	337	1759
161	339	1756
162	341	1753
163	343	1750
164	345	1746
165	347	1743
166	348	1740
167	351	1740
168	353	1738
169	355	1737
170	357	1733
171	359	1729
172	361	1728
173	363	1726
174	365	1725
175	368	1725
176	371	1725
177	372	1722
178	374	1719
179	376	1716
180	378	1713
181	381	1716
182	383	1713
183	385	1710
184	387	1708
185	389	1705
186	391	1701
187	393	1698
188	395	1697
189	397	1693
190	399	1690
191	401	1687
192	402	1684
193	404	1682
194	406	1679
195	408	1676
196	411	1675
197	413	1673
198	414	1669
199	416	1667
200	418	1664
201	420	1661
202	422	1658
203	424	1656
204	426	1654
205	428	1650
206	431	1652
207	433	1649
208	435	1646
209	437	1644
210	439	1641
211	440	1638
212	442	1636
213	444	1634
214	446	1630
215	448	1628
216	450	1626
217	452	1623
218	454	1621
219	456	1618
220	458	1615
221	460	1612
222	461	1609
223	464	1608
224	466	1605
225	467	1602
226	469	1599
227	471	1597
228	473	1595
229	475	1592
230	477	1590
231	479	1587
232	481	1584
233	483	1581
234	485	1578
235	486	1575
236	488	1572
237	490	1570
238	492	1567
239	494	1564
240	496	1562
241	497	1559
242	499	1556
243	501	1554
244	503	1551
245	505	1548
246	507	1546
247	509	1544
248	511	1541
249	513	1539
250	515	1536
251	516	1534
252	518	1531
253	520	1529
254	522	1526
255	524	1524
256	526	1522
257	528	1519
258	530	1517
259	532	1514
260	534	1512
261	536	1510
262	537	1507
263	540	1505
264	541	1503
265	543	1500
266	545	1498
267	548	1497
268	550	1495
269	552	1494
270	554	1492
271	557	1491
272	559	1489
273	561	1488
274	564	1487
275	567	1487
276	569	1485
277	571	1483
278	572	1480
279	574	1478
280	577	1476
281	579	1475
282	581	1472
283	583	1470
284	585	1468
285	587	1466
286	589	1463
287	590	1460
288	592	1458
289	594	1456
290	596	1454
291	598	1451
292	600	1449
